rating,text,name,sentiment,clean_text,cluster
5,Seem to work as well as name brand batteries at a much better price,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,seem work well name brand batteries much better price,4
5,Well if you are looking for cheap non-rechargeable batteries that last quite a while then these are perfect. Nothing more to say.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,well looking cheap nonrechargeable batteries last quite perfect nothing say,0
1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell,AmazonBasics AAA Performance Alkaline Batteries (36 Count),negative,dont know would buy thus brand seems like dont last long duracell,0
4,They don't last as long as the brand name but are good enough considering they are much cheaper.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,dont last long brand name good enough considering much cheaper,0
4,have not used yet but a battery is a battery good price,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,used yet battery battery good price,2
4,"These Amazon batteries did the job although I gave 4star only because I had a few I would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, I will definitely buy again for this priceIm pretty well satisfied.Thank you!",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazon batteries job although gave 4star would say hand full batteries strong pretty weak box 48 batteries definitely buy priceim pretty well satisfiedthank,0
5,We've ordered these a few times cause we've been so happy with product. These are good quality. We are also happy with price. I would recommend these.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,weve ordered times cause weve happy product good quality also happy price would recommend,3
5,Very convenient to have a box of batteries and at a good price. No longer need to compare pricing in stores. Should have done this long time ago.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,convenient box batteries good price longer need compare pricing stores done long time ago,0
5,Works just as well as every other brand of battery with a better price. Powers all of my sons toys for months at a time.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,works well every brand battery better price powers sons toys months time,0
5,These last as well as Energizer- half the price.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,last well energizer half price,0
5,"3rd purchase of these AA from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name brands",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,3rd purchase aa amazon expiration 2027 ones ive used thus far last long name brands,0
4,"GOT THE 48 PACK, I USEDD THEM UP FASTER THAN I THOUGHT I WOULD!!,SO IM ORDERING MORE !! SO IM ORDERING MORE NOW",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,got 48 pack usedd faster thought wouldso im ordering im ordering,3
5,I definitely love the price and quantity.. My kids go tthrough them to fast. At least these will last a while..,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,definitely love price quantity kids go tthrough fast least last,3
5,"Arrived earlier than expected. Amazon batteries are not only affordable, but have a long life.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,arrived earlier expected amazon batteries affordable long life,0
5,LOVE THESE BATTERIES! BETTER THAN DURACELL AND SAVES ME MONEY! THANK YOU FOR A GREAT PRODUCT AMAZON!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,love batteries better duracell saves money thank great product amazon,0
